date, net, balance
2017-07-02 04:50:00, -0.0097, 13724.37
2017-07-03 04:50:00, 0.0156, 13938.47
2017-07-04 04:50:00, 0.0063, 14026.28
2017-07-05 04:50:00, -0.0094, 13894.43
2017-07-06 04:50:00, 0.0009, 13906.93
2017-07-07 04:50:00, 0.0009, 13919.45
2017-07-08 04:50:00, -0.0035, 13870.73
2017-07-09 04:50:00, 0.0092, 13998.34
2017-07-10 04:50:00, -0.0038, 13945.15
2017-07-11 04:50:00, -0.0137, 13754.1
2017-07-12 04:50:00, -0.011, 13602.8
2017-07-13 04:50:00, -0.0071, 13506.22
2017-07-14 04:50:00, 0.0086, 13622.37
2017-07-15 04:50:00, 0.0189, 13879.83
2017-07-16 04:50:00, 0.0077, 13986.7
2017-07-17 04:50:00, -0.016, 13762.91
2017-07-18 04:50:00, -0.0094, 13633.54
2017-07-19 04:50:00, 0.0096, 13764.42
2017-07-20 04:50:00, -0.0155, 13551.07
2017-07-21 04:50:00, 0.0146, 13748.92
2017-07-22 04:50:00, 0.0162, 13971.65
2017-07-23 04:50:00, -0.0049, 13903.19
2017-07-24 04:50:00, 0.0153, 14115.91
2017-07-25 04:50:00, -0.0036, 14065.09
2017-07-26 04:50:00, -0.0093, 13934.28
2017-07-27 04:50:00, 0.0068, 14029.03
2017-07-28 04:50:00, -0.0094, 13897.16
2017-07-29 04:50:00, 0.0014, 13916.62
2017-07-30 04:50:00, 0.0138, 14108.67
2017-07-31 04:50:00, -0.0046, 14043.77
2017-08-01 04:50:00, 0.0041, 14101.35
2017-08-02 04:50:00, 0.0128, 14281.85
2017-08-03 04:50:00, 0.0034, 14330.41
2017-08-04 04:50:00, -0.0123, 14154.15
2017-08-05 04:50:00, -0.0021, 14124.43
2017-08-06 04:50:00, 0.0093, 14255.79
2017-08-07 04:50:00, -0.005, 14184.51
2017-08-08 04:50:00, -0.0044, 14122.1
2017-08-09 04:50:00, 0.007, 14220.95
2017-08-10 04:50:00, 0.0161, 14449.91
2017-08-11 04:50:00, 0.0048, 14519.27
2017-08-12 04:50:00, -0.0132, 14327.62
2017-08-13 04:50:00, -0.0169, 14085.48
2017-08-14 04:50:00, 0.0095, 14219.29
2017-08-15 04:50:00, 0.0123, 14394.19
2017-08-16 04:50:00, 0.0041, 14453.21
2017-08-17 04:50:00, 0.0103, 14602.08
2017-08-18 04:50:00, -0.0057, 14518.85
2017-08-19 04:50:00, 0.0142, 14725.02
2017-08-20 04:50:00, 0.0188, 15001.85
2017-08-21 04:50:00, 0.007, 15106.86
2017-08-22 04:50:00, 0.0075, 15220.16
2017-08-23 04:50:00, 0.0114, 15393.67
2017-08-24 04:50:00, 0.0004, 15399.83
2017-08-25 04:50:00, 0.0002, 15402.91
2017-08-26 04:50:00, 0.0049, 15478.38
2017-08-27 04:50:00, 0.0089, 15616.14
2017-08-28 04:50:00, -0.0162, 15363.16
2017-08-29 04:50:00, -0.0005, 15355.48
2017-08-30 04:50:00, -0.0019, 15326.3
2017-08-31 04:50:00, -0.0028, 15283.39
2017-09-01 04:50:00, -0.0097, 15135.14
2017-09-02 04:50:00, -0.0112, 14965.63
2017-09-03 04:50:00, 0.0015, 14988.08
2017-09-04 04:50:00, -0.0101, 14836.7
2017-09-05 04:50:00, -0.0021, 14805.54
2017-09-06 04:50:00, -0.0153, 14579.02
2017-09-07 04:50:00, 0.0132, 14771.46
2017-09-08 04:50:00, -0.0086, 14644.43
2017-09-09 04:50:00, 0.002, 14673.72
2017-09-10 04:50:00, -0.0118, 14500.57
2017-09-11 04:50:00, 0.003, 14544.07
2017-09-12 04:50:00, -0.0027, 14504.8
2017-09-13 04:50:00, 0.0143, 14712.22
2017-09-14 04:50:00, 0.0184, 14982.92
2017-09-15 04:50:00, 0.0051, 15059.33
2017-09-16 04:50:00, -0.015, 14833.44
2017-09-17 04:50:00, 0.0043, 14897.22
2017-09-18 04:50:00, 0.0164, 15141.53
2017-09-19 04:50:00, 0.0109, 15306.57
2017-09-20 04:50:00, -0.0154, 15070.85
2017-09-21 04:50:00, -0.0105, 14912.61
2017-09-22 04:50:00, 0.0183, 15185.51
2017-09-23 04:50:00, 0.0151, 15414.81
2017-09-24 04:50:00, -0.0056, 15328.49
2017-09-25 04:50:00, -0.01, 15175.21
2017-09-26 04:50:00, 0.0144, 15393.73
2017-09-27 04:50:00, -0.0029, 15349.09
2017-09-28 04:50:00, -0.0116, 15171.04
2017-09-29 04:50:00, -0.0019, 15142.22
2017-09-30 04:50:00, -0.006, 15051.37
2017-10-01 04:50:00, -0.0024, 15015.25
2017-10-02 04:50:00, 0.0011, 15031.77
2017-10-03 04:50:00, 0.0156, 15266.27
2017-10-04 04:50:00, 0.0123, 15454.05
